filename,genre,genre id
../data/gtzan/audio/metal/metal.00099.wav,metal,6
../data/gtzan/audio/rock/rock.00004.wav,rock,9
../data/gtzan/audio/metal/metal.00078.wav,metal,6
../data/gtzan/audio/reggae/reggae.00060.wav,reggae,8
../data/gtzan/audio/country/country.00055.wav,country,2
../data/gtzan/audio/jazz/jazz.00029.wav,jazz,5
../data/gtzan/audio/blues/blues.00094.wav,blues,0
../data/gtzan/audio/rock/rock.00049.wav,rock,9
../data/gtzan/audio/disco/disco.00045.wav,disco,3
../data/gtzan/audio/hiphop/hiphop.00039.wav,hiphop,4
../data/gtzan/audio/blues/blues.00012.wav,blues,0
../data/gtzan/audio/metal/metal.00029.wav,metal,6
../data/gtzan/audio/pop/pop.00056.wav,pop,7
../data/gtzan/audio/jazz/jazz.00041.wav,jazz,5
../data/gtzan/audio/jazz/jazz.00082.wav,jazz,5
../data/gtzan/audio/classical/classical.00034.wav,classical,1
../data/gtzan/audio/country/country.00036.wav,country,2
../data/gtzan/audio/pop/pop.00035.wav,pop,7
../data/gtzan/audio/blues/blues.00009.wav,blues,0
../data/gtzan/audio/country/country.00076.wav,country,2
../data/gtzan/audio/jazz/jazz.00013.wav,jazz,5
../data/gtzan/audio/country/country.00091.wav,country,2
../data/gtzan/audio/country/country.00096.wav,country,2
../data/gtzan/audio/hiphop/hiphop.00048.wav,hiphop,4
../data/gtzan/audio/pop/pop.00047.wav,pop,7
../data/gtzan/audio/hiphop/hiphop.00006.wav,hiphop,4
../data/gtzan/audio/classical/classical.00012.wav,classical,1
../data/gtzan/audio/rock/rock.00096.wav,rock,9
../data/gtzan/audio/disco/disco.00050.wav,disco,3
../data/gtzan/audio/classical/classical.00016.wav,classical,1
../data/gtzan/audio/rock/rock.00045.wav,rock,9
../data/gtzan/audio/metal/metal.00022.wav,metal,6
../data/gtzan/audio/hiphop/hiphop.00095.wav,hiphop,4
../data/gtzan/audio/hiphop/hiphop.00063.wav,hiphop,4
../data/gtzan/audio/jazz/jazz.00056.wav,jazz,5
../data/gtzan/audio/hiphop/hiphop.00041.wav,hiphop,4
../data/gtzan/audio/metal/metal.00055.wav,metal,6
../data/gtzan/audio/disco/disco.00002.wav,disco,3
../data/gtzan/audio/jazz/jazz.00098.wav,jazz,5
../data/gtzan/audio/reggae/reggae.00080.wav,reggae,8
../data/gtzan/audio/reggae/reggae.00050.wav,reggae,8
../data/gtzan/audio/reggae/reggae.00001.wav,reggae,8
../data/gtzan/audio/blues/blues.00056.wav,blues,0
../data/gtzan/audio/blues/blues.00069.wav,blues,0
../data/gtzan/audio/jazz/jazz.00071.wav,jazz,5
../data/gtzan/audio/metal/metal.00097.wav,metal,6
../data/gtzan/audio/pop/pop.00045.wav,pop,7
../data/gtzan/audio/reggae/reggae.00018.wav,reggae,8
../data/gtzan/audio/country/country.00017.wav,country,2
../data/gtzan/audio/country/country.00028.wav,country,2
../data/gtzan/audio/disco/disco.00081.wav,disco,3
../data/gtzan/audio/reggae/reggae.00010.wav,reggae,8
../data/gtzan/audio/reggae/reggae.00068.wav,reggae,8
../data/gtzan/audio/pop/pop.00090.wav,pop,7
../data/gtzan/audio/metal/metal.00096.wav,metal,6
../data/gtzan/audio/rock/rock.00019.wav,rock,9
../data/gtzan/audio/classical/classical.00037.wav,classical,1
../data/gtzan/audio/country/country.00031.wav,country,2
../data/gtzan/audio/jazz/jazz.00081.wav,jazz,5
../data/gtzan/audio/blues/blues.00021.wav,blues,0
../data/gtzan/audio/rock/rock.00078.wav,rock,9
../data/gtzan/audio/metal/metal.00086.wav,metal,6
../data/gtzan/audio/rock/rock.00016.wav,rock,9
../data/gtzan/audio/jazz/jazz.00033.wav,jazz,5
../data/gtzan/audio/rock/rock.00047.wav,rock,9
../data/gtzan/audio/hiphop/hiphop.00007.wav,hiphop,4
../data/gtzan/audio/pop/pop.00036.wav,pop,7
../data/gtzan/audio/classical/classical.00077.wav,classical,1
../data/gtzan/audio/rock/rock.00023.wav,rock,9
../data/gtzan/audio/metal/metal.00066.wav,metal,6
../data/gtzan/audio/disco/disco.00063.wav,disco,3
../data/gtzan/audio/classical/classical.00063.wav,classical,1
../data/gtzan/audio/blues/blues.00064.wav,blues,0
../data/gtzan/audio/metal/metal.00041.wav,metal,6
../data/gtzan/audio/metal/metal.00071.wav,metal,6
../data/gtzan/audio/country/country.00002.wav,country,2
../data/gtzan/audio/disco/disco.00009.wav,disco,3
../data/gtzan/audio/blues/blues.00082.wav,blues,0
../data/gtzan/audio/jazz/jazz.00012.wav,jazz,5
../data/gtzan/audio/hiphop/hiphop.00058.wav,hiphop,4
../data/gtzan/audio/country/country.00021.wav,country,2
